CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,Class
BOLI,X11,PoW,13654082.4987998,25000000,-0.2282850198377332,-0.9165058196100019,0.048562653854565194,BolivarCoin,1
XRA,X11,PoW/PoS,134554941.15119,75000000,-0.39517672998627,1.2465497737320688,-0.5186245976713197,Ratecoin,0
REV,SHA-256,PoW/PoS,1195525.0,222725000,-0.31135547365184413,0.8874184059558394,-0.40630752014915594,Revenu,0
CKC,SHA-256,PoW/PoS,16662820.0,525000000,-0.30902309897140295,0.8872517291356931,-0.40631504355887,Clockcoin,0
VIP,NIST5,PoW/PoS,83450403.0,90000000,-0.34125086332206506,1.5239964055235615,-0.5938692249846126,VIP Tokens,0
BSD,X11,PoW/PoS,24387724.5010828,139000000,-0.3960689390713498,1.2464764683931533,-0.518601023517248,BitSend,0
OMNI,Scrypt,PoW,616448.0,616448,-0.16814784528055565,-1.132911763357229,0.0037459565981501643,Omni,1
LIR,POS 3.0,PoS,38589808.6658096,33500000,-0.32644425240495645,1.4124819703528868,0.05429539545490783,Let it Ride,0
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000,-0.3127670382170947,1.029267249498178,-0.5636211099700832,PutinCoin,0
IBANK,Scrypt,PoW/PoS,4526324.0,44333333,-0.33651350637365113,1.0301081977836801,-0.5634152554784424,iBankCoin,0
FRWC,Scrypt,PoW/PoS,100000000.0,100000000,-0.3349522815961865,1.0301085421098273,-0.5634371898453775,Frankywillcoin,0
MUDRA,X13,PoS,5000000.0,200000000,-0.23033225045422423,1.5579341350662725,-0.26444318883454276,MudraCoin,0
PIZZA,X11,PoW,1377917.0,25000000,-0.2284350102712845,-0.9165099334391578,0.04856537731591675,PizzaCoin,1
LC,X11,PoS,657000000.0,657000000,-0.33729559937506604,0.9945657770563645,-0.16636282483750245,Lutetium Coin,0
KMD,Equihash,dPoW/PoW,115898131.0,200000000,-0.3646796210701463,-1.0481907495404905,0.6200587961055622,Komodo,1
GB,X11,PoW/PoS,15563873.0,50000000,-0.39680783715179835,1.246524112870282,-0.5185978611272956,GoldBlocks,0
CTC,Scrypt,PoW/PoS,43165500.0,90000000,-0.33571759541835844,1.0300951820221476,-0.563424445765819,CarterCoin,0
KRB,CryptoNight,PoW,7822432.72439746,10000000,0.3074023738007652,-2.36100578227459,0.38266897222137175,Karbo,1
BXT,SHA-256,PoW/PoS,595429.0,21000000,-0.31279321287836503,0.8875328966545774,-0.40630465619931627,BitTokens,0
ZYD,SHA-256,PoW,6243840.0,9736000,-0.14408064901660578,-1.275502312693425,0.16085399605038428,ZayedCoin,1
MST,X11,PoW/PoS,657636.34549789,3000000,-0.39732323308427003,1.2465458397796296,-0.518593917931207,MustangCoin,0
ZNE,Scrypt,PoW/PoS,2581970.0,21000000,-0.33670271633281296,1.0301208125045271,-0.5634145082533147,ZoneCoin,0
COVAL,Multiple,PoW,1000000000.0,1200000000,-0.10642781790347264,-1.7992086256662787,0.36230246122135695,Circuits of Value,1
ROOT,Scrypt,PoW/PoS,1939889.0,0,-0.33685946971641606,1.03013253699761,-0.563414081523929,RootCoin,0
DOPE,Scrypt,PoW,116845228.0,200000000,-0.165313955420215,-1.1329861748306078,0.0037174721779084175,DopeCoin,1
BTCR,Scrypt,PoS,169598616.0,0,-0.2874400161861517,0.7783605480527488,-0.21106572078599334,BitCurrency,0
DLC,SHA-256,PoW,9106714.0,10638298,-0.14403927228080302,-1.2755018663304774,0.1608533487084684,DollarCoin,1
SCN,Scrypt,PoW/PoW,665200057.0,3100000000,-0.24818606378288507,0.3088283628496493,-0.2856150886721571,Swiscoin,0
SH,Scrypt,PoW,11119200.0,30000000,-0.16781116728376416,-1.1329249499822789,0.0037432287927449273,Shilling,1
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000,0.03294928464626767,1.9465664997068632,-0.7949718274227058,BuzzCoin,0
XPO,PoS,PoS,74033806.7949683,74000000,-0.34102588782190985,1.4792146604619594,-0.024527929917989768,Opair,0
PSB,Scrypt,PoW/PoS,33522957.0,0,-0.3364735871651696,1.0301431207052,-0.5634210882122203,PesoBit,0
HALLO,X11,PoW/PoS,264678458.288619,1500000000,-0.3834823779908881,1.2457831878936572,-0.5186727562122616,Halloween Coin,0
XZC,Lyra2Z,PoW,7568281.24956067,21400000,-0.15307464876891758,-2.17512067382518,0.43039041374059916,ZCoin,1
CFC,PoS,PoS,148716816.0,39999898,-0.34035449988873284,1.4792590181964762,-0.02454403803653813,CoffeeCoin,0
ROYAL,X13,PoS,2500124.0,2500124,-0.2317632413942199,1.5580455869192424,-0.2644399606163507,RoyalCoin,0
GNJ,X14,PoW/PoS,100000000.0,100000000,-0.4256198155238649,2.058858775151325,-0.7518644736598462,GanjaCoin V2,0
TEAM,PoS,PoS,17818682.1654,301000000,-0.3401030961618646,1.47906676035197,-0.02451853159487028,TeamUP,0
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000,-0.28162404597024693,1.9474720146866773,-0.7906994466268477,LanaCoin,0
ELE,Ethash,PoW,26205539.0,26205539,-0.15727271979359814,-2.084016475621639,0.39951426835842446,Elementrem,1
ZCL,Equihash,PoW,5613550.0,21000000,-0.17427601162439674,-1.952042319355999,0.42794073636548347,ZClassic,1
ARK,DPoS,DPoS,108202084.0,125000000,3.720025430026931,2.029883807203954,-0.3747358203272349,ARK,0
INSANE,X11,PoW/PoS,18342813.0,30000000,-0.3969157015555796,1.2465364152163072,-0.5185982068870911,InsaneCoin,0
KLC,Scrypt,PoW,196297971.0,10000000000,-0.0948526017990036,-1.1385313904927077,0.0035671797458462244,KiloCoin,1
ATX,X11,PoW,824000000.0,500000000,-0.2150160305845013,-0.9165043307236718,0.04837644877251019,ArtexCoin,1
EMB,X13,PoW/PoS,92192822723.0,850000000,0.8532584704654717,1.8402855326953,-0.6372893675290222,EmberCoin,0
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.39727813723964267,1.2465464255145406,-0.5185946384453468,XenixCoin,0
FRE,PoS,PoS,50000000.0,50000000,-0.3414897144074031,1.4792202518892354,-0.024522273133598123,FreeCoin,0
PLNC,Scrypt,PoW/PoS,17089600.0,38540000 ,-0.3364010878322893,1.030115701655106,-0.5634179642088316,PLNCoin,0
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000,-0.33655542548282824,1.030108828479915,-0.5634147631661117,AquariusCoin,0
KURT,X11,PoW,61364813.0,228000000,-0.22626264107580518,-0.9166052481125785,0.04854932117324862,Kurrent,1
